FileName,Loc,AvgAssignment,AvgBlankLines,AvgColon,AvgComment,AvgDash,AvgEnvLenght,AvgEnvVariable,AvgIfStatement,AvgIndentation,AvgKeyword,AvgLineLenght,AvgNumber,AvgParenthesis,AvgScriptLenght,AvgSpace,MaxEnvLenght,MaxEnvVariable,MaxIndentation,MaxLineeLenght,MaxNumber,MaxOccurencesCharacter,MaxOccurrencesEnv,MaxScriptLenght,Redable
2acb62e518555ae856b22beba87731a0812f840e.yml,177,1.1452991452991452,0.1299435028248587,0.6153846153846154,0.2090395480225988,2.5641025641025643,12.916666666666666,0.5649717514124294,0.0785714285714285,2.9,0.4642857142857143,51.24293785310734,1.290598290598291,0.5982905982905983,75.51162790697674,6.319018404907975,13,13,10,416,15,457,12,206,0
b94d144cee344ce689171006f7046bf6f952c6fc.yml,182,1.1416666666666666,0.1373626373626373,0.6166666666666667,0.2032967032967033,2.591666666666667,12.916666666666666,0.5659340659340659,0.0769230769230769,2.8811188811188813,0.4620689655172413,51.87362637362637,1.425,0.6,75.8409090909091,6.244047619047619,13,13,10,406,18,490,12,206,1
839db5ec58fd5d852706e10f7a05bb756c8e75b9.yml,182,1.1416666666666666,0.1373626373626373,0.6166666666666667,0.2032967032967033,2.591666666666667,12.916666666666666,0.5659340659340659,0.0769230769230769,2.8811188811188813,0.4620689655172413,51.91208791208791,1.425,0.6,75.8409090909091,6.244047619047619,13,13,10,406,18,490,12,206,0
5cdb51bf7899c4d5de5cf84c0048d252741abe2f.yml,210,1.463235294117647,0.1428571428571428,0.6544117647058824,0.2095238095238095,3.051470588235294,10.31578947368421,0.7380952380952381,0.0662650602409638,3.108433734939759,0.4939759036144578,56.21428571428572,1.8602941176470589,0.5294117647058824,75.24444444444444,6.663265306122449,13,12,12,443,18,655,20,206,1
c1d6297bee690f2c0472a063d22a6c18fc0a9de5.yml,224,1.3355704697986577,0.1383928571428571,0.6442953020134228,0.1964285714285714,2.906040268456376,10.31578947368421,0.6830357142857143,0.0614525139664804,3.150837988826816,0.4888888888888889,53.76339285714285,1.7986577181208054,0.4832214765100671,75.24444444444444,6.495238095238095,13,12,12,443,18,672,20,206,0
9002bc1b2fd9eaa58bba03e17792fb48030d2683.yml,210,1.463235294117647,0.1428571428571428,0.6544117647058824,0.2095238095238095,3.051470588235294,10.31578947368421,0.7380952380952381,0.0662650602409638,3.108433734939759,0.4939759036144578,56.21428571428572,1.8602941176470589,0.5294117647058824,75.24444444444444,6.663265306122449,13,12,12,443,18,655,20,206,1
50a6fe1e20e07a7f757128c0883bb74cb4bb6148.yml,224,1.3355704697986577,0.1383928571428571,0.6442953020134228,0.1964285714285714,2.906040268456376,10.31578947368421,0.6830357142857143,0.0614525139664804,3.150837988826816,0.4888888888888889,53.76339285714285,1.7986577181208054,0.4832214765100671,75.24444444444444,6.495238095238095,13,12,12,443,18,672,20,206,0
6e534ca39cca485c52b41df12cece27f48ffef45.yml,248,0.2297872340425532,0.0040322580645161,0.9148936170212766,0.0483870967741935,0.8808510638297873,12.6,0.0483870967741935,0.0666666666666666,4.45,0.885593220338983,34.028225806451616,1.2297872340425533,0.2382978723404255,17.5,6.796680497925311,21,1,6,182,32,626,12,25,1
2d7803074a33a54607267424dde2b2f2c6aaa507.yml,250,0.2278481012658227,0.004,0.9156118143459916,0.048,0.8734177215189873,12.6,0.048,0.0661157024793388,4.421487603305785,0.8865546218487395,33.868,1.219409282700422,0.2362869198312236,17.5,6.753086419753086,21,1,6,182,32,629,12,25,0
394ded180dc02ca82c42342c95e392d31d02eda5.yml,269,0.203125,0.0037174721189591,0.91015625,0.0446096654275092,0.8984375,12.6,0.0297397769516728,0.0651340996168582,4.505747126436781,0.8832684824902723,31.9182156133829,0.70703125,0.234375,17.5,6.912213740458015,21,1,6,182,30,713,13,25,1
0701abd2a03c9fc41e44575785e61b54d321029f.yml,269,0.203125,0.0037174721189591,0.91015625,0.0446096654275092,0.8984375,12.6,0.0297397769516728,0.0651340996168582,4.505747126436781,0.8910505836575876,31.903345724907066,0.70703125,0.234375,17.5,6.912213740458015,21,1,6,182,30,713,13,25,0
452d17dc0828c22aff72062a4cb5e1e3a0f9ad93.yml,73,0.6031746031746031,0.0821917808219178,0.2698412698412698,0.0547945205479452,1.126984126984127,11.0,0.2054794520547945,0.078125,1.5625,0.2318840579710145,30.95890410958904,1.2222222222222223,0.8253968253968254,39.77272727272727,4.228571428571429,12,3,4,180,26,141,8,118,1
e785f946640a938f846354698dbcacafd52d4daa.yml,71,0.6229508196721312,0.0845070422535211,0.2786885245901639,0.056338028169014,1.1311475409836065,11.0,0.2112676056338028,0.0806451612903225,1.4838709677419355,0.2388059701492537,30.76056338028169,1.2622950819672132,0.819672131147541,39.61904761904762,4.088235294117647,12,3,4,180,26,136,8,118,0
83c26fc328d54972f09a4ad8fbd0115dc174e158.yml,48,0.0975609756097561,0.0625,0.7317073170731707,0.0833333333333333,0.7560975609756098,11.333333333333334,0.1041666666666666,0.0238095238095238,6.095238095238095,0.6590909090909091,36.770833333333336,3.1951219512195124,0.1463414634146341,34.0,7.066666666666666,29,2,12,691,107,92,2,94,1
7cdd16211ccb2c672286a95bfe558ef55fda6f53.yml,46,0.0975609756097561,0.0652173913043478,0.7317073170731707,0.0434782608695652,0.7560975609756098,11.333333333333334,0.108695652173913,0.0232558139534883,5.953488372093023,0.6590909090909091,37.32608695652174,3.1951219512195124,0.1463414634146341,34.0,7.0,29,2,12,691,107,92,2,94,0
6522cad727af6e4e1af74491b0a4c73e52278806.yml,66,0.0192307692307692,0.2121212121212121,0.6923076923076923,0.0454545454545454,0.75,0.0,0.0,0.0,2.5,0.5303030303030303,16.303030303030305,0.5192307692307693,0.0,50.8,3.060606060606061,0,0,6,81,10,74,0,83,1
800bbb810e4f4aa61ba668687fa18a8f1801c103.yml,63,0.0,0.2222222222222222,0.6326530612244898,0.0476190476190476,0.7142857142857143,0.0,0.0,0.0,2.122448979591837,0.492063492063492,15.746031746031743,0.4081632653061224,0.0,40.8,2.6984126984126986,0,0,6,66,10,73,0,71,0
2acb356745810fb84f592407c68f0166858e604d.yml,78,0.1884057971014492,0.1153846153846153,0.6956521739130435,0.0,1.3478260869565215,3.0,0.0897435897435897,0.0289855072463768,3.710144927536232,0.5974025974025974,46.37179487179487,3.1739130434782608,0.1159420289855072,90.52380952380952,4.935897435897436,3,1,8,182,38,277,3,179,1
26fef301e93b36c831bb2c679852aa40cc12b352.yml,78,0.1884057971014492,0.1153846153846153,0.6956521739130435,0.0,1.7246376811594204,3.0,0.0897435897435897,0.0289855072463768,3.710144927536232,0.5974025974025974,49.20512820512821,3.1739130434782608,0.1159420289855072,100.23809523809524,4.935897435897436,3,1,8,182,38,329,3,179,0
db8a3f3ff2e4b448dff366f9f6bd1947c6ff02dd.yml,61,0.3478260869565217,0.1475409836065573,0.7391304347826086,0.0983606557377049,0.9130434782608696,10.5,0.2622950819672131,0.0,1.7608695652173914,0.6,31.868852459016395,2.130434782608696,0.0869565217391304,61.333333333333336,2.8545454545454545,12,2,4,180,35,99,5,142,1
ac9cffadc25235384b08cfc7b71525b299372a80.yml,61,0.3478260869565217,0.1475409836065573,0.7391304347826086,0.0983606557377049,0.9130434782608696,10.5,0.2622950819672131,0.0,1.7608695652173914,0.6,31.75409836065574,2.130434782608696,0.0869565217391304,60.0,2.8363636363636364,12,2,4,180,35,96,5,142,0
e02af1dbc441e3d53cdb6553303873f7a9697115.yml,48,0.0,0.1458333333333333,0.5641025641025641,0.1458333333333333,0.7435897435897436,0.0,0.0,0.0,1.9743589743589745,0.4782608695652174,19.166666666666668,0.4102564102564102,0.0,22.8,2.9130434782608696,0,0,6,61,14,51,0,36,1
4c5349f321aae1cd56070d7e6e8919c6218fbd0d.yml,33,0.0,0.1515151515151515,0.7142857142857143,0.1515151515151515,0.3571428571428571,0.0,0.0,0.0,2.4285714285714284,0.6060606060606061,18.63636363636364,0.5714285714285714,0.0,7.0,2.909090909090909,0,0,6,61,14,39,0,7,0
607b55915ee2cef8fd213760cf7d9ee3f64d4319.yml,67,0.1282051282051282,0.1044776119402985,0.2307692307692307,0.3283582089552239,2.4615384615384617,0.0,0.0,0.0178571428571428,2.5,0.1304347826086956,37.1044776119403,1.6923076923076923,0.5128205128205128,55.59375,5.888888888888889,0,0,4,187,10,137,0,199,1
8781c92cbe54e7e4c319f30d81e987047a65c77b.yml,67,0.1282051282051282,0.1044776119402985,0.2307692307692307,0.3283582089552239,2.4615384615384617,0.0,0.0,0.0178571428571428,2.5,0.1304347826086956,36.88059701492537,1.6923076923076923,0.5128205128205128,55.125,5.888888888888889,0,0,4,187,10,135,0,199,0
f65922297d5d8f9a146c4ebdf6d11c5d6d61ab40.yml,39,0.5384615384615384,0.0,2.4871794871794872,0.0256410256410256,1.4615384615384617,3.0,0.1025641025641025,0.0769230769230769,2.051282051282051,0.4871794871794871,62.0,3.282051282051282,0.6153846153846154,285.57142857142856,4.641025641025641,3,1,6,695,37,490,4,721,1
b47f1769e4d867be9448dd8c2f6dacf5459744de.yml,39,0.5384615384615384,0.0,2.4871794871794872,0.0256410256410256,1.4615384615384617,3.0,0.1025641025641025,0.0769230769230769,2.051282051282051,0.4871794871794871,62.02564102564103,3.282051282051282,0.6153846153846154,285.57142857142856,4.641025641025641,3,1,6,695,37,490,4,721,0
5019725f2b641154662303cafda4bffba71f11d2.yml,43,0.2121212121212121,0.1860465116279069,0.7272727272727273,0.0697674418604651,0.6363636363636364,0.0,0.0,0.0571428571428571,3.0285714285714285,0.5609756097560976,15.813953488372093,0.1818181818181818,0.1818181818181818,22.857142857142858,4.255813953488372,0,0,8,79,2,47,0,63,1
8ef045151ffc4366f2833dd4d75bba100a0c43bb.yml,44,0.2121212121212121,0.2045454545454545,0.7272727272727273,0.0681818181818181,0.6363636363636364,0.0,0.0,0.0571428571428571,3.0285714285714285,0.5476190476190477,15.454545454545457,0.1818181818181818,0.1818181818181818,22.857142857142858,4.159090909090909,0,0,8,79,2,47,0,63,0
1e3f842ab94d52a20cbab7d12281f9b6b64fe296.yml,41,0.2424242424242424,0.1463414634146341,0.5454545454545454,0.048780487804878,0.6060606060606061,14.0,0.1463414634146341,0.0294117647058823,2.0,0.4615384615384615,14.975609756097562,0.4242424242424242,0.1212121212121212,35.666666666666664,3.525,14,1,6,69,1,35,7,81,1
275f1ebc7bb46f88e7f4bb82664ffa335ff16e5e.yml,30,0.2083333333333333,0.1666666666666666,0.2916666666666667,0.0333333333333333,0.7916666666666666,14.0,0.1,0.04,1.6,0.2413793103448276,14.466666666666669,0.3333333333333333,0.1666666666666666,35.666666666666664,3.4,14,1,6,69,1,27,4,81,0
753c9dbf04cca2729bf693d99106b68c81119d41.yml,76,0.3384615384615385,0.1184210526315789,0.7692307692307693,0.0263157894736842,0.6615384615384615,11.454545454545457,0.2894736842105263,0.0303030303030303,2.303030303030303,0.6756756756756757,15.197368421052632,0.7076923076923077,0.1538461538461538,30.166666666666668,3.28,14,1,4,62,3,79,15,68,1
2f85fbea4c4eb498f8fcd7c797690cac0ba725b8.yml,70,0.3050847457627119,0.1285714285714285,0.7627118644067796,0.0285714285714285,0.5932203389830508,10.88888888888889,0.2571428571428571,0.0333333333333333,2.2666666666666666,0.6617647058823529,14.414285714285716,0.5423728813559322,0.1694915254237288,30.166666666666668,3.231884057971014,14,1,4,62,2,74,11,68,0
7f6423270eb9b3df82523f2feb5ce0fd65f7bb52.yml,91,0.2794117647058823,0.2307692307692307,0.8088235294117647,0.0879120879120879,0.8235294117647058,24.61904761904762,0.2087912087912088,0.0144927536231884,3.342857142857143,0.5842696629213483,22.60439560439561,1.2941176470588236,0.0588235294117647,27.0,4.549450549450549,61,1,8,182,33,109,6,51,1
612ef6d2f79cbcd425ac6a737ca11de58e24d92d.yml,91,0.2794117647058823,0.2307692307692307,0.8088235294117647,0.0879120879120879,0.8676470588235294,24.61904761904762,0.2087912087912088,0.0144927536231884,3.342857142857143,0.5842696629213483,22.75824175824176,1.2941176470588236,0.0588235294117647,23.571428571428573,4.56043956043956,61,1,8,182,33,110,6,49,0
518d001b996951fa5bcc2833f1beac84cfbcfff4.yml,40,0.5,0.175,0.53125,0.025,0.59375,11.5,0.05,0.0909090909090909,1.7575757575757576,0.4358974358974359,22.475,0.25,0.3125,50.53846153846154,3.5,19,2,6,113,2,45,2,115,1
