Delta,Loc,AvgAssignment,AvgBlankLines,AvgColon,AvgComment,AvgDash,AvgEnvLenght,AvgEnvVariable,AvgIfStatement,AvgIndentation,AvgKeyword,AvgLineLenght,AvgNumber,AvgParenthesis,AvgScriptLenght,AvgSpace,MaxEnvLenght,MaxEnvVariable,MaxIndentation,MaxLineeLenght,MaxNumber,MaxOccurencesCharacter,MaxOccurrencesEnv,MaxScriptLenght
5783cb5193295ef04836a37610a6d1404644f55f.yml => 3ac70c55e0668e18f9508c44b64b7de927878daf.yml,-2,0.0,0.04999999999999999,-0.125,0.0,0.45833333333333326,0.0,0.0,0.0,0.0,-0.125,1.0749999999999993,0.0,0.0,0.0,0.19999999999999996,0,0,0,0,0,-2,0,0
48599f5e94f2f986439e944345c7c43b6158e13f.yml => 04c5f5179b26f5354180a78f51236c4909f1c173.yml,-21,0.0,0.0177717019822283,0.0,-0.131578947368421,0.0,0.0,0.0297334244702665,0.013106921487603312,0.1048553719008265,-0.0021991203518592073,-4.206083390293919,0.0,0.0,0.0,0.03623188405797073,0,0,0,0,0,0,0,0
171651796ed9164a608acf26bc915c39c0022c3d.yml => 2d7893e25df2bf50bd1246f7cfbc99d348e61c72.yml,-4,0.009517629245078985,0.003947368421052602,0.023794073112697434,-0.0230263157894737,0.00908500973393922,0.0,0.008552631578947284,0.0007722007722006999,0.28880308880308814,0.020091324200913308,-0.7717105263157897,0.013627514600908386,0.0315812243132165,-2.583333333333343,0.07368421052631469,0,0,0,0,0,-6,0,0
68a8095cb50db530ec1c1fb5216d8e8b6229c975.yml => e50a19b2a98c09089f0b3223a0d787e7d8ac0a67.yml,-15,-0.04275862068965519,0.05162064825930368,-0.0027586206896552112,-0.2154861944777911,0.008275862068965578,0.07142857142857117,0.07863145258103249,-0.025,0.6115384615384616,-0.004784688995215336,-7.369147659063625,0.17103448275862076,-0.1379310344827586,-11.36666666666666,-0.579831932773109,0,0,0,-27,0,-8,-1,-40
026100eedc29df889b23896ceb7b1c23a87d6f72.yml => f4b75f95a5a1a5cec3bc3613a27168df8d80ebe8.yml,2,-0.04248366013071897,-0.001134429948950702,-0.03104575163398693,-0.006806579693703907,-0.06862745098039236,0.0,-0.004537719795802697,0.0,0.03809523809523796,-0.024710424710424672,-4.858196256381163,-0.5980392156862746,0.042483660130719,-14.0,-0.017016449234260378,0,0,0,0,0,-14,0,-206
5676c19a6c0c71feba9553073d1ee9fc15964be9.yml => 1a3e839846f432e77d3e312837e7a34b97a3bf19.yml,-1,0.0029761904761904934,0.0021621621621620846,0.008078231292517002,0.0034234234234233885,0.00680272108843516,0.0,0.0003603603603604018,0.0,-0.006049606775559324,0.004918032786885296,-0.06450450450450518,0.008078231292517002,0.0008503401360544019,0.25543478260869534,-0.003519668737060222,0,0,0,0,0,-6,0,0
b11c5e9c0138ac80738dc2a16cc0ee3155e8bc4e.yml => eab3c4c7ecc2c0a19070dfec95c088a44e775660.yml,-4,0.026232114467408585,-0.0012515644555694816,0.003974562798092107,0.0033375052148518977,0.0119236883942766,0.0,0.016687526074259523,0.0,-0.00427350427350448,0.003174603174603108,-0.8802670004171897,0.006359300476947549,0.0,-2.5535714285714306,0.04213600333750511,0,0,0,0,0,-5,0,0
c5d2424b7a0de55dc2e842b34bd8e29b8af1a8b8.yml => 3064172b4438ceaec15f86577b33e5fec0f1a3db.yml,-1,-0.26455026455026454,0.005882352941176394,0.025132275132275117,0.0,-0.08730158730158732,0.0,-0.3647058823529412,0.0,0.007936507936507908,0.015966386554621903,0.08655462184873741,0.030423280423280463,0.0,-11.0,-0.005882352941176006,0,-2,0,-11,0,-2,-1,-11
282eef3aab8131f59d2b2ae4385f50e23849ecbe.yml => d07988b7d99831dbc9ec80fc76de273548019c76.yml,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02469135802468969,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
96169cfc24eeebaa944b507f5b60ba1c7103fb89.yml => 10ab88e0859b3fda142af20ab6990ca5a2f81d39.yml,-6,0.027272727272727282,0.011553273427471089,0.050000000000000044,0.0038510911424903954,0.09696969696969726,0.0,0.014441591784338903,0.0,-0.4022770398481972,0.03525641025641024,0.9406290115532734,0.1287878787878789,0.0030303030303029978,4.2226720647773295,-0.3668918918918922,0,0,-2,0,0,-4,0,0
